Health condition,Relative Risk (95 % CI),Population at risk,Hospital admissions per year,motivo
Hypertension,0.83 (0.61; 1.15),91958,128,motivo
Diabetes mellitus,0.76 (0.56; 1.04),38784,160,motivo
Stroke,0.74 (0.58; 0.95),4807,244,motivo
Angina pectoris,0.62 (0.51; 0.75),4277,271,motivo
Heart failure,0.52 (0.40; 0.67),2617,230,motivo
Epilepsy,0.79 (0.57; 1.11),449,86,motivo
Asthma,0.35 (0.21; 0.57),5514,54,motivo
Pregnancy related,0.78 (0.60; 1.01),45445,136,motivo
Gastroenteritis,0.45 (0.25; 0.79),5858,45,motivo
Pneumonia in children,0.57 (0.42; 0.77),2319,114,motivo
Pneumonia in adults,0.36 (0.24; 0.56),2777,116,motivo
Skin infection,0.82 (0.69; 0.97),33126,331,motivo
"Ear, nose & throat",1.06 (0.64; 1.77),78059,28,motivo
Pelvic inflammatory disease,0.59 (0.38; 0.93),4044,41,motivo
